"player_id","name","user_id"
1,"Jordan","17a87e84-cecb-44fa-9d43-476c8ad9954f"
2,"Conor","17a87e84-cecb-44fa-9d43-476c8ad9954f"
3,"Lars","17a87e84-cecb-44fa-9d43-476c8ad9954f"
4,"Kyle","17a87e84-cecb-44fa-9d43-476c8ad9954f"
5,"Pete","17a87e84-cecb-44fa-9d43-476c8ad9954f"
6,"Brayden","17a87e84-cecb-44fa-9d43-476c8ad9954f"
7,"Cody","17a87e84-cecb-44fa-9d43-476c8ad9954f"
8,"Simone","17a87e84-cecb-44fa-9d43-476c8ad9954f"
9,"Nat","17a87e84-cecb-44fa-9d43-476c8ad9954f"
10,"Josh","17a87e84-cecb-44fa-9d43-476c8ad9954f"
11,"Katie","17a87e84-cecb-44fa-9d43-476c8ad9954f"
12,"Ben","17a87e84-cecb-44fa-9d43-476c8ad9954f"
13,"Shawn","17a87e84-cecb-44fa-9d43-476c8ad9954f"
14,"Freddie","17a87e84-cecb-44fa-9d43-476c8ad9954f"
15,"Other","17a87e84-cecb-44fa-9d43-476c8ad9954f"
16,"Matt","17a87e84-cecb-44fa-9d43-476c8ad9954f"
17,"Amy","17a87e84-cecb-44fa-9d43-476c8ad9954f"
18,"Adda","17a87e84-cecb-44fa-9d43-476c8ad9954f"
19,"Dav","17a87e84-cecb-44fa-9d43-476c8ad9954f"
20,"Tarren","17a87e84-cecb-44fa-9d43-476c8ad9954f"
21,"Jay","17a87e84-cecb-44fa-9d43-476c8ad9954f"
22,"Andrea","17a87e84-cecb-44fa-9d43-476c8ad9954f"
23,"Callum","17a87e84-cecb-44fa-9d43-476c8ad9954f"
24,"Zeb","17a87e84-cecb-44fa-9d43-476c8ad9954f"
25,"Dad","17a87e84-cecb-44fa-9d43-476c8ad9954f"
26,"Glen","17a87e84-cecb-44fa-9d43-476c8ad9954f"
27,"Ben Sakaio","17a87e84-cecb-44fa-9d43-476c8ad9954f"
28,"Adam","17a87e84-cecb-44fa-9d43-476c8ad9954f"
29,"Saashi","17a87e84-cecb-44fa-9d43-476c8ad9954f"
30,"Hayden","17a87e84-cecb-44fa-9d43-476c8ad9954f"
31,"Jonathan","17a87e84-cecb-44fa-9d43-476c8ad9954f"
32,"Liam","17a87e84-cecb-44fa-9d43-476c8ad9954f"
33,"Lucas","17a87e84-cecb-44fa-9d43-476c8ad9954f"
34,"Vinny","17a87e84-cecb-44fa-9d43-476c8ad9954f"
35,"Rebekah","17a87e84-cecb-44fa-9d43-476c8ad9954f"
36,"Emily","17a87e84-cecb-44fa-9d43-476c8ad9954f"
37,"Apollo","17a87e84-cecb-44fa-9d43-476c8ad9954f"
38,"Jess","17a87e84-cecb-44fa-9d43-476c8ad9954f"
39,"Lee","17a87e84-cecb-44fa-9d43-476c8ad9954f"
